Ref,Val,Package,PosX,PosY,Rot,Side
"F1","500mA","Fuse_1206_3216Metric",13.179600,84.988400,0.000000,bottom
"R1","10k","R_0805_2012Metric",55.829200,57.960500,90.000000,bottom
"R2","22","R_0805_2012Metric",0.965200,78.539100,90.000000,bottom
"R3","22","R_0805_2012Metric",-1.016000,78.539100,90.000000,bottom
"R4","5.1k","R_0805_2012Metric",7.112000,88.823800,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",-0.835900,90.170000,180.000000,bottom
"R6","10k","R_0805_2012Metric",53.467000,32.893000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",51.206400,44.653200,315.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",4.648200,99.060000,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",59.232800,52.705000,180.000000,bottom
